['Q12382', 'MASK', 'MASK']
['Q11071667', 'MASK', 'Q10924171']
['Q16603544', 'MASK', 'MASK']
['Q192592', 'P185', 'MASK']
['MASK', 'MASK', 'Q239']
['MASK', 'MASK', 'Q84']
['MASK', 'MASK', 'Q179876']
['Q183509', 'MASK', 'Q17378135']
['Q1387942', 'P21', 'MASK']
['MASK', 'P119', 'Q4263743']
['Q16603496', 'MASK', 'MASK']
['MASK', 'P106', 'MASK']
['Q49601', 'P735', 'MASK']
['MASK', 'MASK', 'Q6581097']
['Q84423', 'MASK', 'Q801']
['Q13420078', 'MASK', 'MASK']
['MASK', 'P25', 'MASK']
['Q11098130', 'P3373', 'MASK']
['Q127417', 'MASK', 'MASK']
['MASK', 'P3373', 'MASK']
['MASK', 'P19', 'MASK']
['MASK', 'P101', 'MASK']
['Q871444', 'MASK', 'MASK']
['Q76512', 'MASK', 'Q1726']
['MASK', 'MASK', 'MASK']
['Q16603624', 'MASK', 'MASK']
['MASK', 'MASK', 'Q1622272']
['MASK', 'MASK', 'Q11997611']
['MASK', 'P166', 'MASK']
['Q4775087', 'P509', 'MASK']
['MASK', 'MASK', 'MASK']
['MASK', 'MASK', 'MASK']
['Q386484', 'MASK', 'Q735687']
['Q360445', 'MASK', 'MASK']
['Q178525', 'P103', 'MASK']
['MASK', 'MASK', 'Q1860']
['Q242181', 'MASK', 'Q60504']
['MASK', 'P1412', 'Q1860']
['Q70768', 'MASK', 'Q235183']
['MASK', 'P3373', 'Q10918517']
['MASK', 'MASK', 'Q1848616']
['Q1771504', 'P21', 'MASK']
['MASK', 'MASK', 'Q11079363']
['MASK', 'P106', 'MASK']
['Q63413', 'P27', 'MASK']
['Q184499', 'MASK', 'MASK']
['Q302763', 'P21', 'MASK']
['Q203960', 'MASK', 'MASK']
['MASK', 'P3373', 'Q711798']
['Q878405', 'P2348', 'MASK']
['Q2039668', 'MASK', 'MASK']
['MASK', 'P40', 'Q556835']
['Q10899590', 'MASK', 'MASK']
['MASK', 'P166', 'MASK']
['MASK', 'P106', 'MASK']
['MASK', 'MASK', 'Q214917']
['MASK', 'P1343', 'MASK']
['Q151972', 'MASK', 'Q829895']
['Q4994489', 'P1066', 'MASK']
['MASK', 'MASK', 'Q1860']
['Q619', 'MASK', 'MASK']
['Q172466', 'P1412', 'MASK']
['MASK', 'MASK', 'Q1425428']
['Q11132229', 'P53', 'MASK']
['Q216288', 'MASK', 'Q44989']
['Q164425', 'MASK', 'MASK']
['Q234598', 'MASK', 'Q45981']
['MASK', 'P27', 'MASK']
['Q160192', 'MASK', 'MASK']
['MASK', 'MASK', 'Q10511368']
['MASK', 'P166', 'Q14539974']
['MASK', 'MASK', 'Q2966']
['MASK', 'P166', 'Q960966']
['Q1107006', 'P166', 'MASK']
['MASK', 'MASK', 'Q15921764']
['Q212639', 'MASK', 'MASK']
['Q2305942', 'MASK', 'MASK']
['Q11094268', 'MASK', 'MASK']
['Q484523', 'MASK', 'MASK']
['Q214665', 'MASK', 'MASK']
['Q11672723', 'MASK', 'Q16603451']
['MASK', 'MASK', 'Q11097696']
['MASK', 'P40', 'Q824250']
['MASK', 'P172', 'Q539051']
['MASK', 'P106', 'MASK']
['MASK', 'P106', 'MASK']
['MASK', 'MASK', 'Q1375174']
['Q233987', 'MASK', 'Q2302787']
['MASK', 'P3373', 'MASK']
['MASK', 'P53', 'MASK']
['Q559188', 'MASK', 'MASK']
['Q7358028', 'MASK', 'MASK']
['Q468003', 'P1412', 'MASK']
['MASK', 'MASK', 'Q1860']
['MASK', 'MASK', 'Q214917']
['MASK', 'MASK', 'Q11658305']
['Q313755', 'MASK', 'MASK']
['Q1965530', 'P27', 'MASK']
['Q182897', 'MASK', 'MASK']
['Q2616156', 'MASK', 'MASK']
['MASK', 'P551', 'Q1869357']
['MASK', 'P166', 'MASK']
['MASK', 'P3373', 'Q2624237']
['MASK', 'P2031', 'MASK']
['MASK', 'P27', 'Q15180']
['Q22344319', 'MASK', 'MASK']
['Q44071', 'MASK', 'MASK']
['Q2157350', 'MASK', 'MASK']
['MASK', 'MASK', 'Q6581097']
['MASK', 'P106', 'Q948329']
['MASK', 'P106', 'MASK']
['MASK', 'P69', 'Q152171']
['Q47563', 'P937', 'MASK']
['Q332595', 'P1412', 'MASK']
['MASK', 'MASK', 'Q1860']
['Q723638', 'P166', 'MASK']
['MASK', 'MASK', 'Q28841847']
['MASK', 'P166', 'MASK']
['Q16075366', 'P3373', 'MASK']
['MASK', 'MASK', 'Q28977355']
['MASK', 'P166', 'MASK']
['Q11074558', 'MASK', 'MASK']
['MASK', 'MASK', 'Q2259532']
['Q4119087', 'P3373', 'MASK']
['MASK', 'P735', 'MASK']
['MASK', 'P463', 'MASK']
['MASK', 'MASK', 'Q22131062']
['MASK', 'P53', 'MASK']
['Q7814011', 'MASK', 'Q8004407']
['Q245257', 'MASK', 'Q335017']
['MASK', 'MASK', 'Q222595']
['Q106175', 'MASK', 'MASK']
['Q58607', 'P1412', 'MASK']
['MASK', 'MASK', 'Q13141064']
['Q28840711', 'MASK', 'MASK']
['Q379229', 'MASK', 'MASK']
['MASK', 'P69', 'MASK']
['MASK', 'MASK', 'Q10934229']
['MASK', 'MASK', 'Q49201']
['Q16075407', 'P3373', 'MASK']
['Q174979', 'MASK', 'MASK']
['MASK', 'MASK', '+1350-01-01T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727']
['MASK', 'MASK', 'Q41']
['MASK', 'P19', 'MASK']
['Q4586875', 'MASK', 'MASK']
['MASK', 'MASK', 'Q16075330']
['Q80692', 'P106', 'MASK']
['MASK', 'P3373', 'Q11668624']
['Q351822', 'MASK', 'MASK']
['MASK', 'P569', 'MASK']
['Q7362690', 'MASK', 'MASK']
['Q2887133', 'P3373', 'MASK']
['Q254085', 'MASK', 'MASK']
['MASK', 'MASK', 'Q13141064']
['Q11097800', 'MASK', 'Q6581097']
['Q207953', 'MASK', 'Q846572']
['Q334404', 'P607', 'MASK']
['Q55955', 'P106', 'MASK']
['MASK', 'P22', 'Q1348702']
['MASK', 'MASK', 'Q401645']
['MASK', 'MASK', 'Q868421']
['MASK', 'P735', 'MASK']
['MASK', 'MASK', 'Q11097787']
['MASK', 'MASK', 'Q950604']
['Q272233', 'MASK', 'Q105313']
['MASK', 'MASK', 'Q10798782']
['MASK', 'P166', 'MASK']
['MASK', 'P1303', 'Q11405']
['MASK', 'MASK', 'Q552414']
['Q29021', 'MASK', 'Q458894']
['Q302212', 'MASK', 'Q23930953']
['MASK', 'P53', 'MASK']
['MASK', 'MASK', 'Q524703']
['Q233992', 'MASK', 'Q666063']
['Q223955', 'MASK', 'MASK']
['Q77024', 'MASK', 'MASK']
['MASK', 'P106', 'Q1028181']
['MASK', 'MASK', 'Q28513']
['MASK', 'P166', 'Q12177423']
['Q900837', 'MASK', 'Q41506']
['Q380479', 'MASK', 'Q1774915']
['MASK', 'P3373', 'Q16078127']
['MASK', 'MASK', 'Q52878']
['MASK', 'MASK', 'Q15919438']
['MASK', 'MASK', 'Q7842']
['Q954089', 'MASK', 'Q6581097']
['MASK', 'P3373', 'MASK']
['MASK', 'MASK', 'Q16603671']
['Q1980296', 'MASK', '+1937-09-11T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727']
['MASK', 'P735', 'Q42373577']
['Q58062', 'MASK', 'Q188']
['Q16076778', 'P3373', 'MASK']
['MASK', 'MASK', 'Q445673']
['Q186264', 'P20', 'MASK']
['Q708265', 'P40', 'MASK']
['MASK', 'P19', 'Q2044']
['MASK', 'MASK', 'MASK']
['MASK', 'MASK', 'MASK']
['MASK', 'MASK', 'Q689018']
['Q1890642', 'P166', 'MASK']
['Q7362099', 'P3373', 'MASK']
['Q2527461', 'MASK', 'MASK']
['MASK', 'P3373', 'MASK']
['MASK', 'P27', 'Q20']
['Q223677', 'P69', 'MASK']
['Q562515', 'MASK', 'Q2807']
['Q69420', 'P569', 'MASK']
['Q3301', 'MASK', 'Q184407']
['MASK', 'P25', 'Q2332287']
['MASK', 'P463', 'Q21084431']
['MASK', 'MASK', 'Q6581097']
['Q10899363', 'MASK', 'Q10899668']
['Q15996171', 'MASK', 'MASK']
['MASK', 'MASK', 'Q17378135']
['MASK', 'P166', 'Q4287107']
['MASK', 'P27', 'Q34266']
['Q17987394', 'P1412', 'MASK']
['MASK', 'MASK', 'Q123885']
['Q574597', 'P108', 'MASK']
['Q185272', 'P106', 'MASK']
['Q329765', 'MASK', 'MASK']
['Q125249', 'P69', 'MASK']
['Q1089085', 'P20', 'MASK']
['Q184697', 'MASK', 'MASK']
['MASK', 'P1412', 'Q150']
['MASK', 'MASK', 'Q347181']
['Q7824142', 'MASK', 'Q934262']
['Q161167', 'P21', 'MASK']
['MASK', 'P106', 'Q639669']
['MASK', 'MASK', 'Q16260555']
['MASK', 'P3373', 'MASK']
['MASK', 'P1412', 'MASK']
['Q24756', 'MASK', 'MASK']
['MASK', 'P3373', 'Q1338799']
['MASK', 'MASK', 'MASK']
['Q334065', 'MASK', 'Q28004591']
['MASK', 'MASK', 'MASK']
['MASK', 'P1303', 'Q128309']
['MASK', 'MASK', 'Q6581097']
['MASK', 'MASK', 'Q1453512']
['Q3112766', 'MASK', 'Q239']
['MASK', 'MASK', 'Q213']
['MASK', 'MASK', 'Q15921732']
['MASK', 'P569', '+1951-05-23T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727']
['MASK', 'P69', 'MASK']
['MASK', 'P21', 'Q6581072']
['MASK', 'P69', 'MASK']
['MASK', 'MASK', 'Q1860']
['MASK', 'P22', 'MASK']
['MASK', 'MASK', 'Q28']
['MASK', 'MASK', 'Q15180']
['MASK', 'P166', 'MASK']
['MASK', 'MASK', 'Q17362575']
['MASK', 'MASK', 'Q16075355']
['Q102822', 'MASK', 'Q12204']
['MASK', 'MASK', 'Q333634']
['Q1389588', 'P166', 'MASK']
['MASK', 'P3373', 'Q7369135']
['MASK', 'MASK', 'Q2095524']
['Q315076', 'MASK', 'MASK']
['MASK', 'P410', 'Q474485']
['MASK', 'P569', 'MASK']
['Q3760627', 'MASK', 'Q21084425']
['Q954383', 'MASK', 'Q10859']
['Q4777913', 'P3373', 'MASK']
['Q968840', 'P106', 'MASK']
['MASK', 'P735', 'MASK']
['Q2847505', 'MASK', 'Q1860']
['Q962057', 'P19', 'MASK']
['Q188936', 'MASK', 'Q1752901']
['MASK', 'P166', 'MASK']
['MASK', 'P3373', 'Q10898949']
['MASK', 'P106', 'MASK']
['MASK', 'P166', 'Q23773332']
['Q3655818', 'MASK', 'Q13164']
['MASK', 'P53', 'Q106151']
['MASK', 'P21', 'Q6581097']
['Q333321', 'MASK', 'MASK']
['Q43913', 'MASK', 'MASK']
['MASK', 'P3373', 'MASK']
['MASK', 'MASK', 'Q819654']
['MASK', 'P101', 'Q39286']
['MASK', 'P735', 'Q1778168']
['Q62842', 'P101', 'MASK']
['Q1667121', 'MASK', 'MASK']
['Q446875', 'MASK', 'MASK']
['Q1318372', 'MASK', 'Q448174']
['MASK', 'P101', 'Q2329']
['Q298521', 'P737', 'MASK']
['Q292205', 'P3373', 'MASK']
['Q177984', 'MASK', 'MASK']
['Q310347', 'P166', 'MASK']
['MASK', 'MASK', 'Q16078299']
['Q152474', 'MASK', 'MASK']
['Q4153600', 'MASK', 'Q27923720']
['MASK', 'P106', 'MASK']
['Q277579', 'P101', 'MASK']
['Q16603582', 'MASK', 'Q9700']
['MASK', 'P1344', 'MASK']
['MASK', 'MASK', 'Q278798']
['Q7357341', 'MASK', 'Q4260294']
['MASK', 'P21', 'Q6581097']
['MASK', 'MASK', 'Q338432']
['Q160009', 'MASK', 'Q13232504']
['Q57352', 'MASK', 'MASK']
['Q10305313', 'MASK', 'MASK']
['Q17010027', 'P3373', 'MASK']
['Q11097749', 'MASK', 'Q10881168']
['Q554018', 'P569', 'MASK']
['MASK', 'P3373', 'Q6997412']
['MASK', 'P22', 'MASK']
['Q2469682', 'MASK', 'Q1710776']
['Q84365', 'MASK', 'Q10905276']
['Q448877', 'P26', 'MASK']
['Q49086', 'P569', 'MASK']
['MASK', 'MASK', 'Q15901721']
['MASK', 'P512', 'MASK']
['MASK', 'P39', 'Q1190123']
['Q8019385', 'P20', 'MASK']
['Q215967', 'P21', 'MASK']
['MASK', 'P25', 'MASK']
['MASK', 'P27', 'MASK']
['Q333275', 'P27', 'MASK']
['MASK', 'P3373', 'Q16078792']
['Q7795182', 'MASK', 'Q16428906']
['Q571756', 'MASK', 'MASK']
['Q4244585', 'MASK', 'Q2359180']
['Q10955545', 'P22', 'MASK']
['Q455656', 'MASK', 'Q1841']
['Q7225', 'P40', 'MASK']
['Q16603689', 'MASK', 'Q10877398']
['Q11685', 'MASK', 'MASK']
['Q333716', 'P39', 'MASK']
['Q1367535', 'MASK', 'MASK']
['Q15208', 'MASK', 'Q8479']
['MASK', 'P106', 'MASK']
['MASK', 'P3373', 'Q244206']
['Q704188', 'MASK', 'MASK']
['MASK', 'P1344', 'Q188406']
['Q1077217', 'P27', 'MASK']
['Q288703', 'MASK', 'MASK']
['Q670069', 'P106', 'MASK']
['Q80135', 'MASK', 'Q583881']
['Q11098106', 'MASK', 'MASK']
['Q11087518', 'P3373', 'MASK']
['Q66107', 'MASK', 'Q193391']
['MASK', 'MASK', 'Q7359492']
['MASK', 'P106', 'Q3387717']
['MASK', 'P106', 'MASK']
['MASK', 'P21', 'Q6581097']
['MASK', 'P3373', 'Q260497']
['MASK', 'MASK', 'Q1368943']
['MASK', 'P3373', 'Q10862285']
['MASK', 'MASK', 'Q16554']
['Q157084', 'MASK', 'Q150712']
['Q163666', 'MASK', 'Q79859']
['Q157056', 'MASK', 'MASK']
['Q106963', 'MASK', 'MASK']
['MASK', 'P937', 'MASK']
['MASK', 'MASK', 'Q82955']
['MASK', 'MASK', 'Q585']
['Q10889689', 'MASK', 'MASK']
['Q15899625', 'P3373', 'MASK']
['Q11487409', 'P3373', 'MASK']
['Q1356246', 'P106', 'MASK']
['MASK', 'MASK', 'Q84']
['Q356522', 'MASK', 'MASK']
['Q573751', 'MASK', 'Q16']
['MASK', 'P166', 'MASK']
['Q950211', 'MASK', 'MASK']
['Q89188', 'MASK', 'Q201788']
['MASK', 'P410', 'MASK']
['MASK', 'P3373', 'Q10888050']
['Q157776', 'P19', 'MASK']
['MASK', 'P735', 'MASK']
['Q44886', 'MASK', 'MASK']
['Q105830', 'P101', 'MASK']
['Q1192', 'MASK', 'MASK']
['MASK', 'MASK', 'Q8663']
['MASK', 'MASK', 'Q308907']
['Q15914694', 'MASK', 'Q7475']
['Q4726170', 'P53', 'MASK']
['Q3723316', 'MASK', 'MASK']
['Q28922802', 'MASK', 'MASK']
['Q314545', 'MASK', 'MASK']
['MASK', 'MASK', 'Q183']
['MASK', 'P3373', 'Q4308808']
['MASK', 'P3373', 'Q62650']
['MASK', 'P166', 'Q280693']
['Q354529', 'MASK', 'MASK']
['MASK', 'P136', 'MASK']
['MASK', 'P172', 'MASK']
['Q7604', 'MASK', 'MASK']
['MASK', 'MASK', 'Q272208']
['Q10337309', 'P53', 'MASK']
['MASK', 'P106', 'MASK']
['Q1724829', 'P166', 'MASK']
['MASK', 'P26', 'MASK']
['MASK', 'MASK', 'Q1196817']
['MASK', 'MASK', 'Q11942']
['MASK', 'MASK', 'Q593644']
['Q10907833', 'MASK', 'MASK']
['MASK', 'P166', 'Q1992181']
['Q185085', 'P136', 'MASK']
['MASK', 'MASK', 'Q374136']
['MASK', 'P106', 'MASK']
['Q4508639', 'P166', 'MASK']
['Q120993', 'P1196', 'MASK']
['Q780498', 'MASK', 'MASK']
['MASK', 'MASK', 'Q13391907']
['MASK', 'P166', 'Q47024']
['MASK', 'P3373', 'MASK']
['Q7279583', 'P21', 'MASK']
['Q188411', 'P802', 'MASK']
['Q7901032', 'MASK', 'MASK']
['MASK', 'P136', 'Q186472']
['Q236630', 'MASK', 'MASK']
['Q173417', 'MASK', 'Q47716']
['MASK', 'P509', 'MASK']
['MASK', 'MASK', 'Q2634074']
['Q2654539', 'P413', 'MASK']
['MASK', 'P166', 'MASK']
['MASK', 'P3373', 'Q4310040']
['Q12706', 'MASK', 'MASK']
['Q188526', 'MASK', 'Q64']
['Q2988452', 'MASK', 'Q4345832']
['MASK', 'P3373', 'Q11541388']
['Q195711', 'MASK', 'Q1887943']
['MASK', 'MASK', 'Q17']
['Q11094240', 'P3373', 'MASK']
['MASK', 'MASK', 'Q310788']
['Q11097191', 'MASK', 'MASK']
['MASK', 'P20', 'Q90']
['MASK', 'P3373', 'Q7271']
['Q57066', 'MASK', 'Q127050']
['Q28028', 'MASK', 'MASK']
['Q61064', 'MASK', 'Q5593']
['Q2544781', 'MASK', 'Q188']
['Q111536', 'P463', 'MASK']
['MASK', 'MASK', 'Q6993203']
['MASK', 'P607', 'MASK']
['Q61338', 'P40', 'MASK']
['MASK', 'P463', 'Q21084436']
['Q12203730', 'MASK', 'Q12242559']
['MASK', 'P20', 'MASK']
['Q10946964', 'P3373', 'MASK']
['MASK', 'MASK', 'Q57913']
['MASK', 'P106', 'MASK']
['Q560806', 'MASK', 'Q152909']
['Q70768', 'MASK', 'MASK']
['MASK', 'MASK', 'Q90']
['Q16078102', 'MASK', 'MASK']
['MASK', 'MASK', 'Q4704127']
['Q66447', 'MASK', 'MASK']
['Q186042', 'MASK', 'MASK']
['MASK', 'P22', 'MASK']
['MASK', 'MASK', 'Q649']
['Q552691', 'P166', 'MASK']
['Q449245', 'MASK', 'Q6581097']
['MASK', 'P106', 'Q116']
['MASK', 'MASK', 'Q3480335']
['MASK', 'P27', 'Q183']
['Q104190', 'MASK', 'MASK']
['MASK', 'P641', 'Q134211']
['Q5809', 'MASK', 'Q11774202']
['Q42122', 'MASK', 'Q580574']
['MASK', 'MASK', 'Q1622272']
['Q964094', 'MASK', 'MASK']
['MASK', 'P166', 'Q16735648']
['MASK', 'MASK', 'Q34600']
['Q236540', 'MASK', 'Q505178']
['MASK', 'MASK', 'Q84']
['MASK', 'MASK', 'Q2233776']
['Q850920', 'MASK', 'Q3739104']
['MASK', 'P3373', 'MASK']
['MASK', 'P166', 'MASK']
['MASK', 'P3373', 'Q16603496']
['Q53438', 'P40', 'MASK']
['Q1245001', 'MASK', 'MASK']
['MASK', 'P108', 'MASK']
['Q6224012', 'MASK', 'MASK']
['MASK', 'P97', 'MASK']
['Q447311', 'MASK', 'Q1773']
['Q310453', 'MASK', 'Q29520']
['MASK', 'P21', 'Q6581072']
['MASK', 'MASK', 'Q2079']
['MASK', 'MASK', 'Q188']
['Q13049771', 'MASK', 'MASK']
['MASK', 'MASK', 'Q7737']
['Q1748721', 'MASK', 'Q312305']
['Q157623', 'MASK', 'MASK']
['Q2456848', 'MASK', 'MASK']
['MASK', 'MASK', 'Q170186']
['Q450675', 'MASK', 'Q2268455']
['MASK', 'P734', 'Q17983447']
['Q641895', 'P3373', 'MASK']
['Q191103', 'MASK', 'Q7026']
['Q21797', 'MASK', 'MASK']
['MASK', 'MASK', 'Q19643']
['Q16260228', 'MASK', 'MASK']
['MASK', 'P20', 'Q65']
['Q262989', 'MASK', 'MASK']
['Q48084', 'MASK', 'MASK']
['MASK', 'MASK', 'Q101849']
['Q4405337', 'MASK', 'MASK']
['Q313553', 'MASK', 'MASK']
['MASK', 'P737', 'Q127398']
['MASK', 'P27', 'MASK']
['Q236462', 'MASK', 'Q6581072']
['Q324968', 'MASK', 'Q6581097']
['MASK', 'P27', 'Q34']
['MASK', 'MASK', 'Q5020532']
['Q107462', 'MASK', 'MASK']
['MASK', 'MASK', 'Q686223']
['Q336300', 'MASK', 'Q254106']
['Q38082', 'MASK', 'MASK']
['MASK', 'P241', 'MASK']
['MASK', 'P3373', 'MASK']
['Q5081631', 'MASK', 'Q21084419']
['MASK', 'P106', 'Q169470']
['Q9760', 'P734', 'MASK']
['Q312747', 'P19', 'MASK']
['Q23481', 'MASK', 'MASK']
['Q101797', 'MASK', 'MASK']
['Q217619', 'MASK', 'MASK']
['MASK', 'P3373', 'Q10335322']
['Q61903', 'P106', 'MASK']
['MASK', 'P509', 'Q132821']
['MASK', 'P21', 'MASK']
['MASK', 'P21', 'MASK']
['Q461111', 'MASK', 'MASK']
